date,Time,magnitude,zone,description
1/7/2024,3:24,2.7,ZONA SEISMICA VRANCEA BUZAU,
1/4/2024,22:50,2.8,ZONA SEISMICA VRANCEA BUZAU,
1/4/2024,5:40,3,ZONA SEISMICA VRANCEA VRANCEA,
1/2/2024,22:31,2.2,BANAT TIMIS,
1/2/2024,21:29,2.1,BANAT TIMIS,
1/2/2024,20:44,2.6,BANAT TIMIS,
12/31/2023,3:10,2.4,ZONA SEISMICA VRANCEA BUZAU,
12/30/2023,18:54,2.7,ZONA SEISMICA VRANCEA BUZAU,
12/30/2023,11:37,2,OLTENIA GORJ,
12/30/2023,2:12,2.4,ZONA SEISMICA VRANCEA VRANCEA,
12/29/2023,13:17,2.8,ZONA SEISMICA VRANCEA BUZAU,
12/29/2023,8:17,2.6,MUNTENIA BUZAU,
12/29/2023,1:51,2.5,DOBROGEA TULCEA,
12/28/2023,3:05,2.3,TRANSILVANIA HUNEDOARA,
12/25/2023,20:28,2.6,MUNTENIA IALOMITA,
12/24/2023,17:28,3.4,ZONA SEISMICA VRANCEA BUZAU,
12/24/2023,8:06,4.2,ZONA SEISMICA VRANCEA VRANCEA,
12/24/2023,5:36,2.8,ZONA SEISMICA VRANCEA BUZAU,
12/24/2023,2:14,2.7,ZONA SEISMICA VRANCEA BUZAU,
12/21/2023,6:15,3.3,ZONA SEISMICA VRANCEA BUZAU,
12/20/2023,20:43,2.6,ZONA SEISMICA VRANCEA BUZAU,
12/19/2023,2:36,2.9,ZONA SEISMICA VRANCEA BUZAU,
12/15/2023,15:23,3.4,CRISANA ARAD,
12/15/2023,4:16,3.6,ZONA SEISMICA VRANCEA BUZAU,
12/11/2023,9:09,2.7,ZONA SEISMICA VRANCEA BUZAU,
12/11/2023,4:01,3.2,ZONA SEISMICA VRANCEA BUZAU,
12/10/2023,22:51,2.7,OLTENIA GORJ,
12/10/2023,18:30,2.3,OLTENIA GORJ,
12/10/2023,17:57,2.1,OLTENIA GORJ,
12/9/2023,19:08,4,ZONA SEISMICA VRANCEA BUZAU,
12/4/2023,0:05,4.8,ZONA SEISMICA VRANCEA BUZAU,
12/3/2023,12:43,3.2,ZONA SEISMICA VRANCEA BUZAU,
12/2/2023,20:46,2.1,OLTENIA GORJ,
11/30/2023,21:18,2.6,ZONA SEISMICA VRANCEA PRAHOVA,
11/30/2023,9:58,2.4,OLTENIA GORJ,
11/27/2023,19:35,2.1,ZONA SEISMICA VRANCEA VRANCEA,
11/27/2023,16:34,3.4,ZONA SEISMICA VRANCEA VRANCEA,
11/26/2023,5:38,4.2,ZONA SEISMICA VRANCEA VRANCEA,
11/25/2023,23:21,2.6,ZONA SEISMICA VRANCEA BUZAU,
11/22/2023,10:54,2.4,OLTENIA GORJ,
11/22/2023,3:55,3.4,ZONA SEISMICA VRANCEA VRANCEA,
11/21/2023,4:47,3,ZONA SEISMICA VRANCEA VRANCEA,
11/14/2023,11:03,3.8,ZONA SEISMICA VRANCEA VRANCEA,
11/13/2023,20:43,2.4,OLTENIA GORJ,
11/13/2023,20:24,2.1,OLTENIA GORJ,
11/13/2023,7:19,3.3,ZONA SEISMICA VRANCEA VRANCEA,
11/11/2023,22:22,3.2,ZONA SEISMICA VRANCEA VRANCEA,
11/11/2023,11:28,2.6,ZONA SEISMICA VRANCEA VRANCEA,
11/10/2023,19:48,4.2,OLTENIA GORJ,
11/9/2023,20:26,2.2,OLTENIA GORJ,
11/9/2023,13:19,2.4,OLTENIA GORJ,
11/9/2023,4:33,2.4,OLTENIA GORJ,
11/8/2023,22:57,2.7,CRISANA ARAD,
11/7/2023,11:08,2.2,TRANSILVANIA BRASOV,
11/3/2023,11:08,3.8,ZONA SEISMICA VRANCEA VRANCEA,
11/2/2023,21:31,3.3,MUNTENIA IALOMITA,
10/30/2023,10:45,2.5,MARAMURES SATU MARE,
10/30/2023,7:20,2.2,ZONA SEISMICA VRANCEA VRANCEA,
10/28/2023,4:25,2.7,ZONA SEISMICA VRANCEA VRANCEA,
10/28/2023,2:40,2.7,ZONA SEISMICA VRANCEA BUZAU,
10/26/2023,19:36,2.9,ZONA SEISMICA VRANCEA BUZAU,
10/26/2023,13:09,2.6,BANAT TIMIS,
10/25/2023,16:06,4,ZONA SEISMICA VRANCEA BUZAU,
10/25/2023,9:25,4.3,ZONA SEISMICA VRANCEA BUZAU,
